epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,694.475,1.13579,0.63635,1.17878,0.86482,0.82946,0.87913,0.46644,1.47655,0.73081,1.56119,0.000885523,0.000885523,0.000885523
43,711.018,1.11415,0.64616,1.18979,0.80964,0.82096,0.85886,0.46782,1.45667,0.72273,1.55915,0.000880023,0.000880023,0.000880023
44,727.518,1.10694,0.63559,1.17722,0.85195,0.78668,0.84729,0.47782,1.43504,0.71737,1.5368,0.000874524,0.000874524,0.000874524
45,744.008,1.10909,0.63577,1.17387,0.81248,0.79312,0.8478,0.47542,1.42625,0.71641,1.51192,0.000869024,0.000869024,0.000869024
46,760.569,1.08544,0.6179,1.17776,0.76437,0.82801,0.83072,0.44039,1.47299,0.75789,1.57599,0.000863525,0.000863525,0.000863525
47,777.067,1.09735,0.63439,1.17188,0.85206,0.7559,0.83887,0.4607,1.44555,0.71888,1.52723,0.000858025,0.000858025,0.000858025
48,793.575,1.0721,0.62013,1.16129,0.83387,0.82928,0.87078,0.48451,1.41101,0.68433,1.50408,0.000852526,0.000852526,0.000852526
49,810.098,1.07807,0.61952,1.15915,0.8812,0.77422,0.87436,0.48236,1.44634,0.68597,1.5668,0.000847026,0.000847026,0.000847026
50,826.606,1.08038,0.60239,1.17421,0.84724,0.82276,0.8783,0.48176,1.42601,0.69263,1.52066,0.000841527,0.000841527,0.000841527
51,843.111,1.04981,0.59824,1.15666,0.8099,0.76567,0.83729,0.47042,1.45535,0.70492,1.54075,0.000836027,0.000836027,0.000836027
52,859.583,1.07826,0.61086,1.156,0.85217,0.76836,0.84324,0.46065,1.44764,0.74054,1.52095,0.000830528,0.000830528,0.000830528
53,876.059,1.05579,0.60233,1.15235,0.86218,0.7766,0.85597,0.47974,1.4387,0.70864,1.54864,0.000825029,0.000825029,0.000825029
54,892.642,1.08255,0.60282,1.15899,0.81901,0.82985,0.85176,0.47378,1.44051,0.70791,1.52982,0.000819529,0.000819529,0.000819529
55,909.137,1.04717,0.57283,1.13429,0.83771,0.84656,0.87247,0.46182,1.48901,0.71461,1.58166,0.00081403,0.00081403,0.00081403
56,925.629,1.03716,0.58288,1.14592,0.78819,0.74701,0.81079,0.4619,1.43108,0.73703,1.55073,0.00080853,0.00080853,0.00080853
57,942.139,1.03799,0.58426,1.14319,0.83719,0.78289,0.84722,0.46671,1.44273,0.68267,1.53678,0.000803031,0.000803031,0.000803031
58,958.641,1.03566,0.58573,1.14527,0.84087,0.77411,0.84401,0.46517,1.47219,0.73916,1.56734,0.000797531,0.000797531,0.000797531
59,975.14,1.03516,0.58385,1.15518,0.81489,0.81661,0.83666,0.47577,1.43486,0.68771,1.53648,0.000792032,0.000792032,0.000792032
60,991.665,1.03989,0.58916,1.1456,0.84163,0.78178,0.84927,0.45946,1.47291,0.73595,1.56785,0.000786532,0.000786532,0.000786532
