epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4571,1.60284,3.66696,1.52712,0.02237,0.33694,0.07959,0.04528,1.39707,3.61124,1.52383,6.666e-05,6.666e-05,6.666e-05
2,23.7874,1.39935,3.50613,1.38082,0.0215,0.45197,0.16506,0.09101,1.30057,3.54044,1.33057,0.000140855,0.000140855,0.000140855
3,35.136,1.33738,3.00286,1.27872,0.02072,0.48542,0.25044,0.13874,1.28323,3.42089,1.30857,0.000211201,0.000211201,0.000211201
4,46.49,1.3609,2.40613,1.30055,0.01653,0.50103,0.31241,0.18065,1.24083,3.34344,1.29657,0.000277697,0.000277697,0.000277697
5,57.8188,1.37765,1.88571,1.30769,0.0162,0.52308,0.40337,0.23801,1.28682,3.20877,1.35613,0.000340344,0.000340344,0.000340344
6,69.149,1.35668,1.49785,1.30214,0.02799,0.57657,0.45254,0.26026,1.32175,2.98875,1.4042,0.000399141,0.000399141,0.000399141
7,80.5088,1.34008,1.28767,1.28618,0.97631,0.17991,0.49082,0.28917,1.32593,2.74195,1.38422,0.000454088,0.000454088,0.000454088
8,91.86,1.2996,1.1745,1.28505,0.97438,0.17979,0.51531,0.2942,1.36604,2.65313,1.42443,0.000505186,0.000505186,0.000505186
9,103.255,1.2696,1.1068,1.27363,0.84959,0.214,0.5402,0.29045,1.47893,2.47302,1.49332,0.000552434,0.000552434,0.000552434
10,114.597,1.29198,1.08148,1.27818,0.94342,0.20458,0.53977,0.29634,1.43891,2.41192,1.48045,0.000595832,0.000595832,0.000595832
